                 STARTED     PID    PPID USER     CMD
Tue Jun  3 18:48:47 2025    2197       1 root     /usr/sbin/cron -f -P
Tue Jun  3 18:48:47 2025    2198       1 root     /usr/libexec/switcheroo-control
Tue Jun  3 18:48:47 2025    2200       1 root     /usr/lib/systemd/systemd-logind
Tue Jun  3 18:48:47 2025    2201       1 root     /usr/lib/systemd/systemd-machined
Tue Jun  3 18:48:47 2025    2202       1 root     /usr/sbin/thermald --systemd --dbus-enable --adaptive
Tue Jun  3 18:48:47 2025    2204       1 root     /usr/libexec/udisks2/udisksd
Tue Jun  3 18:48:47 2025    2222       1 root     zed -F
Tue Jun  3 18:48:47 2025    2242    2160 avahi    avahi-daemon: chroot helper
Tue Jun  3 18:48:47 2025    2284       1 root     /usr/sbin/NetworkManager --no-daemon
Tue Jun  3 18:48:47 2025    2289       1 root     /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
Tue Jun  3 18:48:47 2025    2343       1 uml-net  /usr/bin/uml_switch -unix /var/run/uml-utilities/uml_switch.ctl
Tue Jun  3 18:48:47 2025    2400       1 root     /usr/sbin/ModemManager
Tue Jun  3 18:48:47 2025    2447       1 root     /usr/bin/vmware-usbarbitrator
Tue Jun  3 18:48:48 2025    2635       1 aiegoo   /usr/bin/python3 /opt/google/chrome-remote-desktop/chrome-remote-desktop --child-process --config=/home/aiegoo/.config/chrome-remote-desktop/host#44146a6783ceedc472e52b03a74260d2.json --start
Tue Jun  3 18:48:48 2025    2639       1 root     /usr/local/bin/filebrowser -p 3020 -r /home/aiegoo
Tue Jun  3 18:48:48 2025    2643       1 grafana  /usr/local/bin/grafana/bin/grafana server --config=/usr/local/bin/grafana/conf/grafana.ini --homepath=/usr/local/bin/grafana
Tue Jun  3 18:48:48 2025    2645       1 jenkins  /usr/bin/java -Djava.awt.headless=true -jar /usr/share/java/jenkins.war --webroot=/var/cache/jenkins/war --httpPort=8080
Tue Jun  3 18:48:48 2025    2647       1 mongodb  /usr/bin/mongod --setParameter tcmallocReleaseRate=5.0
Tue Jun  3 18:48:48 2025    2658       1 redis    /usr/bin/redis-server 127.0.0.1:6379
Tue Jun  3 18:48:48 2025    2664       1 root     /snap/canonical-livepatch/316/canonical-livepatchd
Tue Jun  3 18:48:48 2025    2668       1 root     /bin/sh /snap/cups/1100/scripts/run-cups-browsed
Tue Jun  3 18:48:48 2025    2669       1 root     /bin/sh /snap/cups/1100/scripts/run-cupsd
Tue Jun  3 18:48:48 2025    2687       1 root     /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
Tue Jun  3 18:48:48 2025    2705       1 root     /usr/bin/containerd
Tue Jun  3 18:48:49 2025    2711       1 root     sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
Tue Jun  3 18:48:49 2025    2731       1 root     /usr/bin/anydesk --service
Tue Jun  3 18:48:49 2025    2750       1 dnsmasq  /usr/sbin/dnsmasq -x /run/dnsmasq/dnsmasq.pid -u dnsmasq -r /run/dnsmasq/resolv.conf -7 /etc/dnsmasq.d,.dpkg-dist,.dpkg-old,.dpkg-new --local-service --trust-anchor=.,20326,8,2,E06D44B80B8F1D39A95C0B0D7C65D08458E880409BBC683457104237C7F8EC8D --trust-anchor=.,38696,8,2,683D2D0ACB8C9B712A1948B27F741219298D0A450D612C483AF444A4C0FB2B16
Tue Jun  3 18:48:49 2025    2810       1 root     /usr/sbin/xrdp-sesman
Tue Jun  3 18:48:49 2025    2904       1 ntpsec   /usr/sbin/ntpd -p /run/ntpd.pid -c /etc/ntpsec/ntp.conf -g -N -u ntpsec:ntpsec
Tue Jun  3 18:48:49 2025    2911       1 aiegoo   /usr/lib/systemd/systemd --user
Tue Jun  3 18:48:49 2025    2924       1 root     /usr/sbin/gdm3
Tue Jun  3 18:48:49 2025    2938    2911 aiegoo   (sd-pam)
Tue Jun  3 18:48:49 2025    2974       1 xrdp     /usr/sbin/xrdp
Tue Jun  3 18:48:49 2025    2983       1 postgres /usr/lib/postgresql/17/bin/postgres -D /var/lib/postgresql/17/main -c config_file=/etc/postgresql/17/main/postgresql.conf
Tue Jun  3 18:48:49 2025    3003    2924 root     gdm-session-worker [pam/gdm-autologin]
